Architecture,Max_Power,Memory,Memory_Speed
Terascale 2 Caicos PRO-L ,19 Watts,2048 MB ,667 MHz
Terascale 2 Caicos PRO-L ,19 Watts,1024 MB ,667 MHz
Terascale 2 Caicos PRO-L ,19 Watts,2048 MB ,500 MHz
Terascale 2 Caicos PRO-L ,19 Watts,1024 MB ,500 MHz
Terascale 2 Caicos PRO-L ,19 Watts,2048 MB ,500 MHz
Terascale 2 Caicos PRO-L ,19 Watts,1024 MB ,667 MHz
Terascale 2 Caicos PRO-L ,19 Watts,2048 MB ,600 MHz
Terascale 2 Caicos PRO-L ,19 Watts,1024 MB ,533 MHz
Terascale 2 Caicos PRO-L ,19 Watts,1024 MB ,533 MHz
GCN 1.3 Polaris 20 XTX ,250 Watts,32000 MB ,2000 MHz
Terascale 2 Caicos PRO-L ,19 Watts,1024 MB ,600 MHz
GCN 1.1 Oland XT ,30 Watts,1024 MB ,1000 MHz
Terascale Cedar PRO ,19 Watts,1024 MB ,533 MHz
Vega 10 XTX ,295 Watts,8192 MB ,500 MHz
GCN 1.3 Baffin XT ,75 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,1750 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,1750 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XL ,195 Watts,8192 MB ,1750 MHz
GCN 1.3 Polaris 20 XL ,195 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XL ,120 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XTX ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Polaris 20 XL ,120 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XL ,120 Watts,8192 MB ,1750 MHz
GCN 1.3 Polaris 20 XL ,120 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XL ,120 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XL ,120 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XL ,120 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XL ,120 Watts,8192 MB ,1750 MHz
GCN 1.3 Polaris 20 XL ,120 Watts,8192 MB ,1750 MHz
GCN 1.3 Polaris 20 XL ,120 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XL ,120 Watts,8192 MB ,1750 MHz
GCN 1.3 Polaris 20 XL ,120 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XL ,120 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XL ,120 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XL ,120 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XL ,120 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XL ,120 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XL ,120 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XL ,120 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XL ,120 Watts,8192 MB ,1750 MHz
GCN 1.3 Polaris 20 XL ,120 Watts,4096 MB ,1750 MHz
GCN 1.3 Polaris 20 XL ,120 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,4096 MB ,1750 MHz
Polaris 10 ,75 Watts,2048 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,2048 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,2048 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,2048 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,2048 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,2048 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin XT ,45 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,2048 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,2048 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,2048 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,2048 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,2048 MB ,1750 MHz
GCN 1.3 Baffin XT ,75 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,2048 MB ,1750 MHz
GCN 1.3 Baffin XT ,75 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin XT ,75 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,2048 MB ,1750 MHz
GCN 1.3 Baffin XT ,75 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,2048 MB ,1750 MHz
GCN 1.3 Baffin XT ,75 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin XT ,75 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin XT ,80 Watts,2048 MB ,1750 MHz
GCN 1.3 Baffin XT ,75 Watts,2048 MB ,1750 MHz
GCN 1.3 Baffin XT ,75 Watts,2048 MB ,1750 MHz
GCN 1.3 Baffin XT ,75 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin XT ,75 Watts,2048 MB ,1750 MHz
Broadwell GT3e ,65 Watts,128 MB ,933 MHz
GCN 1.0 Malta ,375 Watts,6144 MB ,1500 MHz
GCN 1.0 Tahiti XT (x2) ,500 Watts,6144 MB ,1375 MHz
GCN 1.0 Malta ,375 Watts,6144 MB ,1500 MHz
Terascale 2 Cedar PRO ,19 Watts,1024 MB ,400 MHz
GCN 1.0 Tahiti XT ,230 Watts,3072 MB ,1425 MHz
Fermi GF100 (x2) ,600 Watts,12288 MB ,750 MHz
G92 (x4) ,385 Watts,2048 MB ,1000 MHz
Kepler GK110 ,225 Watts,12288 MB ,1502 MHz
Maxwell GM204-200-A1 ,120 Watts,8192 MB ,1502 MHz
Kepler GK110 ,150 Watts,8192 MB ,1000 MHz
Kepler GK104 ,122 Watts,4096 MB ,1350 MHz
Maxwell GM107 ,45 Watts,1024 MB ,900 MHz
Kepler GK104 ,108 Watts,4096 MB ,1350 MHz
Maxwell GM107 ,68 Watts,4096 MB ,1250 MHz
Kepler GK107-301-A2 ,41 Watts,1024 MB ,905 MHz
Kepler GK107-301-A2 ,41 Watts,1024 MB ,905 MHz
Kepler GK107-301-A2 ,41 Watts,1024 MB ,900 MHz
Fermi GF100 ,204 Watts,6144 MB ,747 MHz
Fermi GF100-100-KD ,142 Watts,2048 MB ,702 MHz
Fermi GF106-875-A1 ,62 Watts,1024 MB ,650 MHz
Tesla G92-420-B1 ,141 Watts,512 MB ,1100 MHz
G92 (x2) ,197 Watts,1024 MB ,1000 MHz
Fermi GF106-875-A1 ,62 Watts,1024 MB ,650 MHz
Fermi GF100-850-A3 ,152 Watts,2560 MB ,750 MHz
Tesla G80 ,172 Watts,768 MB ,1080 MHz
Tesla G92-270-A2 (x2) ,200 Watts,2048 MB ,900 MHz
Tesla G92-270-A2 ,75 Watts,512 MB ,900 MHz
G92 (x2) ,280 Watts,1024 MB ,1100 MHz
Tesla G92-420-A2 ,140 Watts,512 MB ,1100 MHz
Tesla G92-270-A2 ,105 Watts,512 MB ,900 MHz
Tesla G94-300-A1 ,50 Watts,512 MB ,400 MHz
Tesla G92-270-A2 ,105 Watts,1024 MB ,900 MHz
G92 ,84 Watts,768 MB ,800 MHz
Tesla G94-300-A1 ,95 Watts,512 MB ,900 MHz
G92 ,90 Watts,512 MB ,900 MHz
Tesla G96C ,50 Watts,512 MB ,800 MHz
G92 ,84 Watts,384 MB ,800 MHz
Tesla G94-300-A1 ,95 Watts,1024 MB ,900 MHz
G96a/b ,50 Watts,512 MB ,400 MHz
G71 ,49 Watts,256 MB ,660 MHz
Tesla G80 ,143 Watts,640 MB ,792 MHz
Tesla G80 ,158 Watts,768 MB ,900 MHz
Tesla G92 ,135 Watts,512 MB ,800 MHz
G92 (x2) ,270 Watts,1024 MB ,800 MHz
Tesla G80 ,143 Watts,640 MB ,900 MHz
Tesla G92-270-A2 ,105 Watts,512 MB ,900 MHz
Tesla G84 ,47 Watts,512 MB ,400 MHz
Tesla G84 ,75 Watts,512 MB ,1000 MHz
Tesla G84 ,75 Watts,256 MB ,1000 MHz
G92 ,105 Watts,384 MB ,800 MHz
Tesla G84 ,75 Watts,512 MB ,400 MHz
Tesla G84 ,47 Watts,256 MB ,700 MHz
Tesla G84 ,46 Watts,512 MB ,700 MHz
Tesla G86 ,30 Watts,1024 MB ,400 MHz
Tesla G86 ,30 Watts,256 MB ,400 MHz
G84 ,47 Watts,256 MB ,400 MHz
Tesla GT218 ,40 Watts,1024 MB ,600 MHz
Tesla GT218 ,40 Watts,512 MB ,500 MHz
Tesla GT218 ,25 Watts,512 MB ,400 MHz
Tesla G86 ,18 Watts,256 MB ,400 MHz
Tesla G86 ,40 Watts,512 MB ,800 MHz
Tesla G98 ,25 Watts,512 MB ,400 MHz
G86 ,21 Watts,256 MB ,400 MHz
Terascale 2 Antilles (x2) ,750 Watts,8192 MB ,1250 MHz
Terascale 3 Antilles ,375 Watts,4096 MB ,1250 MHz
Terascale 3 Antilles ,375 Watts,4096 MB ,1250 MHz
Terascale 3 Cayman XT ,250 Watts,2048 MB ,1400 MHz
Terascale 3 Cayman XT ,250 Watts,2048 MB ,1375 MHz
Terascale 3 Cayman XT ,250 Watts,2048 MB ,1375 MHz
Terascale 3 Cayman XT ,250 Watts,2048 MB ,1375 MHz
Terascale 3 Cayman XT ,250 Watts,2048 MB ,1375 MHz
Terascale 3 Cayman XT ,250 Watts,2048 MB ,1375 MHz
Terascale 3 Cayman XT ,250 Watts,2048 MB ,1375 MHz
Terascale 3 Cayman XT (x2) ,550 Watts,2048 MB ,1375 MHz
Terascale 3 Cayman XT ,250 Watts,2048 MB ,1375 MHz
Terascale 3 Cayman XT ,250 Watts,2048 MB ,1375 MHz
Terascale 3 Cayman Pro ,200 Watts,2048 MB ,1250 MHz
Terascale 3 Cayman Pro ,200 Watts,2048 MB ,1250 MHz
Terascale 3 Cayman Pro ,200 Watts,2048 MB ,1250 MHz
Terascale 3 Cayman Pro ,200 Watts,1024 MB ,1250 MHz
Cayman Pro ,400 Watts,4096 MB ,1250 MHz
Terascale 3 Cayman Pro ,200 Watts,1024 MB ,1250 MHz
Terascale 2 Barts XT ,150 Watts,2048 MB ,1050 MHz
Terascale 2 Barts XT ,251 Watts,1024 MB ,1050 MHz
Terascale 3 Cayman Pro ,200 Watts,2048 MB ,1250 MHz
Terascale 2 Barts XT ,151 Watts,1024 MB ,1150 MHz
Terascale 2 Barts XT ,225 Watts,1024 MB ,1050 MHz
Terascale 2 Barts XT (x2) ,302 Watts,2048 MB ,1050 MHz
Terascale 2 Barts XT ,251 Watts,1024 MB ,1050 MHz
Terascale 2 Barts XT ,151 Watts,1024 MB ,1050 MHz
Terascale 2 Barts Pro ,127 Watts,1024 MB ,1000 MHz
Terascale 2 Barts Pro ,1 Watts,1024 MB ,1100 MHz
Terascale 2 Barts Pro ,127 Watts,1024 MB ,1000 MHz
Terascale 2 Barts LE ,150 Watts,1024 MB ,1050 MHz
Terascale 2 Juniper XT ,108 Watts,1024 MB ,1200 MHz
Terascale 2 Juniper XT ,108 Watts,1024 MB ,1200 MHz
Terascale 2 Juniper XT ,108 Watts,1024 MB ,1200 MHz
Juniper XT ,206 Watts,2048 MB ,1200 MHz
Terascale 2 Juniper XT ,108 Watts,1024 MB ,1200 MHz
Terascale 2 Juniper XT ,108 Watts,1024 MB ,1200 MHz
Terascale 2 Juniper PRO ,86 Watts,2048 MB ,800 MHz
Terascale 2 Juniper PRO ,86 Watts,1024 MB ,1150 MHz
Terascale 2 Juniper PRO ,86 Watts,1024 MB ,800 MHz
Terascale 2 Juniper PRO ,86 Watts,1024 MB ,1000 MHz
Terascale 2 Juniper PRO ,86 Watts,2048 MB ,667 MHz
Terascale 2 Juniper PRO ,86 Watts,1024 MB ,1150 MHz
Terascale 2 Juniper PRO ,86 Watts,1024 MB ,1150 MHz
Terascale 2 Turks XT ,66 Watts,1024 MB ,1000 MHz
Terascale 2 Turks XT ,66 Watts,1024 MB ,900 MHz
Terascale 2 Juniper PRO ,86 Watts,1024 MB ,1200 MHz
Terascale 2 Turks XT ,66 Watts,2048 MB ,667 MHz
Terascale 2 Turks XT ,66 Watts,1024 MB ,800 MHz
Terascale 2 Turks XT ,66 Watts,2048 MB ,600 MHz
Terascale 2 Turks XT ,66 Watts,2048 MB ,800 MHz
Terascale 2 Turks XT ,66 Watts,1024 MB ,800 MHz
Terascale 2 Turks XT ,66 Watts,1024 MB ,1000 MHz
Terascale 2 Turks XT ,66 Watts,1024 MB ,800 MHz
Terascale 2 Turks XT ,66 Watts,1024 MB ,1000 MHz
Terascale 2 Turks XT ,66 Watts,2048 MB ,800 MHz
Terascale 2 Turks XT ,66 Watts,1024 MB ,1000 MHz
Terascale 2 Turks XT ,66 Watts,1024 MB ,1000 MHz
Terascale 2 Turks XT ,66 Watts,1024 MB ,1000 MHz
Terascale 2 Turks PRO-L ,44 Watts,1024 MB ,650 MHz
Terascale 2 Turks PRO-L ,44 Watts,1024 MB ,667 MHz
Terascale 2 Turks PRO-L ,44 Watts,2048 MB ,500 MHz
Terascale 2 Turks XT ,66 Watts,1024 MB ,1000 MHz
Terascale 2 Turks PRO-L ,44 Watts,1024 MB ,900 MHz
Terascale 2 Turks XT ,66 Watts,1024 MB ,1000 MHz
Terascale 2 Turks PRO-L ,44 Watts,1024 MB ,500 MHz
Terascale 2 Turks PRO-L ,44 Watts,1024 MB ,800 MHz
Terascale 2 Turks PRO-L ,44 Watts,1024 MB ,667 MHz
Terascale 2 Turks PRO-L ,44 Watts,1024 MB ,900 MHz
Terascale 2 Turks PRO-L ,44 Watts,4096 MB ,800 MHz
Terascale 2 Caicos XT ,18 Watts,2048 MB ,580 MHz
Terascale 2 Caicos PRO ,25 Watts,1024 MB ,533 MHz
Terascale 2 Caicos PRO ,18 Watts,1024 MB ,800 MHz
Terascale 2 Caicos PRO ,18 Watts,2048 MB ,667 MHz
Terascale 2 Caicos PRO ,18 Watts,1024 MB ,800 MHz
Terascale 2 Caicos PRO ,18 Watts,2048 MB ,667 MHz
Terascale 2 Caicos PRO ,18 Watts,512 MB ,533 MHz
Terascale 2 Caicos PRO ,18 Watts,512 MB ,800 MHz
Terascale 2 Caicos XT ,18 Watts,512 MB ,900 MHz
Terascale 2 Caicos PRO ,18 Watts,512 MB ,800 MHz
Terascale 2 Caicos PRO ,18 Watts,1024 MB ,600 MHz
Terascale Cedar PRO ,19 Watts,512 MB ,800 MHz
Terascale 2 Turks PRO ,60 Watts,1024 MB ,1000 MHz
Terascale 2 Caicos PRO ,18 Watts,1024 MB ,667 MHz
Terascale Cedar LE ,19 Watts,1024 MB ,800 MHz
G73 GL ,30 Watts,128 MB ,600 MHz
Terascale 2 Caicos PRO ,18 Watts,1024 MB ,667 MHz
Hemlock XT ,294 Watts,4096 MB ,1000 MHz
Terascale 2 Cypress XT ,188 Watts,1024 MB ,1200 MHz
Hemlock XT ,588 Watts,4096 MB ,1000 MHz
Evergreen Cypress XT ,350 Watts,2048 MB ,1200 MHz
Terascale 2 Cypress XT ,300 Watts,1024 MB ,1200 MHz
Terascale 2 Cypress XT ,195 Watts,2048 MB ,1200 MHz
Terascale 2 Cypress PRO ,151 Watts,1024 MB ,1125 MHz
Terascale 2 Cypress PRO ,151 Watts,1024 MB ,1050 MHz
Terascale 2 Cypress PRO ,151 Watts,1024 MB ,1000 MHz
Terascale 2 Cypress XT ,188 Watts,1024 MB ,1200 MHz
Evergreen Cypress LE ,175 Watts,1024 MB ,1000 MHz
Terascale 2 Juniper XT ,108 Watts,1024 MB ,1200 MHz
Evergreen Cypress PRO ,300 Watts,2048 MB ,1000 MHz
Terascale 2 Cypress PRO ,151 Watts,1024 MB ,1000 MHz
Juniper XT ,206 Watts,2048 MB ,1200 MHz
Terascale 2 Cypress PRO ,185 Watts,2048 MB ,1000 MHz
Terascale 2 Juniper XT ,108 Watts,1024 MB ,1200 MHz
Terascale 2 Cypress PRO ,151 Watts,1024 MB ,1125 MHz
Terascale 2 Cypress PRO ,151 Watts,1024 MB ,1000 MHz
Terascale 2 Juniper XT ,150 Watts,1024 MB ,1200 MHz
Terascale 2 Juniper XT ,108 Watts,512 MB ,1200 MHz
Evergreen Juniper PRO ,86 Watts,512 MB ,1150 MHz
Evergreen Juniper PRO ,86 Watts,1024 MB ,1150 MHz
Terascale 2 Juniper XT ,108 Watts,1024 MB ,1200 MHz
Evergreen Redwood XT ,64 Watts,1024 MB ,800 MHz
Terascale 2 Redwood XT ,64 Watts,1024 MB ,1000 MHz
Terascale 2 Redwood XT ,64 Watts,1024 MB ,1000 MHz
Evergreen Redwood XT ,64 Watts,1024 MB ,800 MHz
Evergreen Redwood PRO ,39 Watts,512 MB ,900 MHz
Evergreen Redwood XT ,61 Watts,512 MB ,1000 MHz
Evergreen Redwood PRO ,42 Watts,1024 MB ,900 MHz
Terascale 2 Cedar PRO ,19 Watts,256 MB ,400 MHz
Evergreen Redwood LE ,39 Watts,1024 MB ,1000 MHz
Evergreen Redwood LE ,39 Watts,512 MB ,1000 MHz
GCN 1.0 Tahiti XT ,300 Watts,3072 MB ,1375 MHz
Terascale 2 Cedar PRO ,40 Watts,2048 MB ,400 MHz
GCN 1.0 Tahiti XT ,250 Watts,3072 MB ,1425 MHz
Terascale 2 Cedar PRO ,20 Watts,512 MB ,400 MHz
GCN 1.0 Tahiti XT ,230 Watts,3072 MB ,1425 MHz
GCN 1.0 Tahiti XT ,250 Watts,3072 MB ,1425 MHz
GCN 1.0 Tahiti XT2 ,265 Watts,6144 MB ,1500 MHz
GCN 1.0 Tahiti XT ,230 Watts,3072 MB ,1375 MHz
GCN 1.0 Tahiti XT2 ,300 Watts,3072 MB ,1500 MHz
GCN 1.0 Tahiti XT2 ,250 Watts,3072 MB ,1500 MHz
GCN 1.0 Tahiti XT ,230 Watts,3072 MB ,1400 MHz
GCN 1.0 Tahiti XT ,300 Watts,3072 MB ,1400 MHz
GCN 1.0 Tahiti XT2 ,250 Watts,3072 MB ,1500 MHz
GCN 1.0 Tahiti XT ,300 Watts,3072 MB ,1375 MHz
GCN 1.0 Tahiti XT ,250 Watts,3072 MB ,1375 MHz
GCN 1.0 Malta ,500 Watts,6144 MB ,1650 MHz
GCN 1.0 Tahiti XT2 ,300 Watts,3072 MB ,1650 MHz
GCN 1.0 Tahiti XT (x2) ,460 Watts,6144 MB ,1375 MHz
GCN 1.0 Tahiti PRO ,200 Watts,3072 MB ,1250 MHz
GCN 1.0 Tahiti PRO2 ,200 Watts,3072 MB ,1250 MHz
GCN 1.0 Tahiti PRO ,200 Watts,3072 MB ,1375 MHz
GCN 1.0 Tahiti PRO ,160 Watts,3072 MB ,1250 MHz
GCN 1.0 Tahiti PRO ,225 Watts,3072 MB ,1250 MHz
GCN 1.0 Tahiti PRO (x2) ,360 Watts,6144 MB ,1250 MHz
GCN 1.0 Tahiti PRO ,200 Watts,3072 MB ,1250 MHz
GCN 1.0 Tahiti PRO (x3) ,540 Watts,9216 MB ,1250 MHz
GCN 1.0 Tahiti PRO2 ,200 Watts,3072 MB ,1250 MHz
GCN 1.0 Tahiti PRO ,225 Watts,3072 MB ,1250 MHz
GCN 1.0 Tahiti LE ,185 Watts,2048 MB ,1500 MHz
GCN 1.0 Tahiti PRO ,200 Watts,3072 MB ,1250 MHz
GCN 1.0 Tahiti LE (x2) ,350 Watts,4096 MB ,1500 MHz
GCN 1.0 Tahiti LE ,185 Watts,2048 MB ,1500 MHz
GCN 1.0 Pitcairn XT ,175 Watts,2048 MB ,1225 MHz
GCN 1.0 Pitcairn XT ,175 Watts,2048 MB ,1200 MHz
GCN 1.0 Pitcairn XT ,175 Watts,2048 MB ,1200 MHz
GCN 1.0 Pitcairn XT ,175 Watts,2048 MB ,1200 MHz
GCN 1.0 Pitcairn XT (x2) ,350 Watts,4096 MB ,1200 MHz
GCN 1.0 Pitcairn XT ,175 Watts,2048 MB ,1200 MHz
GCN 1.0 Pitcairn XT ,175 Watts,2048 MB ,1200 MHz
GCN 1.0 Pitcairn XT ,175 Watts,2048 MB ,1200 MHz
GCN 1.0 Pitcairn XT ,175 Watts,2048 MB ,1200 MHz
GCN 1.0 Pitcairn PRO ,130 Watts,2048 MB ,1200 MHz
GCN 1.0 Pitcairn PRO ,130 Watts,2048 MB ,1250 MHz
GCN 1.0 Pitcairn PRO ,130 Watts,2048 MB ,1200 MHz
GCN 1.0 Pitcairn PRO ,130 Watts,2048 MB ,1200 MHz
GCN 1.0 Pitcairn PRO ,130 Watts,2048 MB ,1200 MHz
GCN 1.0 Pitcairn PRO ,150 Watts,2048 MB ,1200 MHz
GCN 1.0 Pitcairn PRO (x2) ,260 Watts,4096 MB ,1200 MHz
GCN 1.0 Pitcairn PRO ,130 Watts,1024 MB ,1200 MHz
GCN 1.0 Pitcairn PRO ,130 Watts,2048 MB ,1200 MHz
GCN 1.0 Pitcairn PRO ,130 Watts,2048 MB ,1200 MHz
GCN 1.0 Cape Verde XT ,80 Watts,1024 MB ,1125 MHz
GCN 1.0 Bonaire XT ,85 Watts,1024 MB ,1500 MHz
GCN 1.0 Bonaire XT (x2) ,170 Watts,2048 MB ,1500 MHz
GCN 1.0 Cape Verde XT ,80 Watts,1024 MB ,1250 MHz
GCN 1.0 Cape Verde XT ,80 Watts,1024 MB ,1125 MHz
GCN 1.0 Cape Verde XT ,150 Watts,1024 MB ,1125 MHz
GCN 1.0 Cape Verde XT ,150 Watts,1024 MB ,1150 MHz
GCN 1.0 Cape Verde XT ,150 Watts,2048 MB ,1150 MHz
GCN 1.0 Cape Verde XT ,80 Watts,2048 MB ,1125 MHz
GCN 1.0 Cape Verde XT (x2) ,160 Watts,2048 MB ,1125 MHz
GCN 1.0 Cape Verde PRO ,55 Watts,1024 MB ,1125 MHz
GCN 1.0 Cape Verde XT ,80 Watts,1024 MB ,1125 MHz
GCN 1.0 Cape Verde PRO ,55 Watts,1024 MB ,1125 MHz
GCN 1.0 Cape Verde PRO ,55 Watts,1024 MB ,1125 MHz
GCN 1.0 Cape Verde PRO ,61 Watts,1024 MB ,1125 MHz
GCN 1.0 Cape Verde PRO (x2) ,110 Watts,2048 MB ,1125 MHz
GCN 1.0 Cape Verde PRO ,55 Watts,1024 MB ,1125 MHz
GCN 1.0 Cape Verde LE ,47 Watts,1024 MB ,900 MHz
GCN 1.0 Cape Verde LE ,47 Watts,4096 MB ,650 MHz
GCN 1.0 Cape Verde LE ,47 Watts,2048 MB ,900 MHz
GCN 1.0 Cape Verde LE ,47 Watts,2048 MB ,800 MHz
Terascale 2 Barts LE ,150 Watts,1024 MB ,1050 MHz
GCN 1.0 Cape Verde LE ,47 Watts,2048 MB ,900 MHz
GCN 1.0 Cape Verde PRO ,75 Watts,1024 MB ,1150 MHz
GCN 1.0 Cape Verde LE ,47 Watts,1024 MB ,1125 MHz
Terascale 2 Turks XT ,66 Watts,2048 MB ,800 MHz
Terascale 2 Turks PRO ,60 Watts,1024 MB ,800 MHz
Terascale 2 Turks XT ,66 Watts,1024 MB ,1000 MHz
Terascale 2 Turks PRO-L ,60 Watts,1024 MB ,800 MHz
Terascale 2 Turks PRO-L ,44 Watts,1024 MB ,900 MHz
Terascale 2 Caicos XT ,18 Watts,512 MB ,900 MHz
Terascale Cedar PRO ,19 Watts,512 MB ,800 MHz
Terascale 2 Caicos PRO ,18 Watts,512 MB ,533 MHz
GCN 1.1 Curacao PRO ,150 Watts,2048 MB ,1400 MHz
GCN 1.0 Pitcairn XT ,175 Watts,2048 MB ,1200 MHz
GCN 1.0 Bonaire XT ,85 Watts,1024 MB ,1500 MHz
GCN 1.0 Tahiti XT ,250 Watts,3072 MB ,1375 MHz
GCN 1.1 Tahiti PRO2 ,200 Watts,3072 MB ,1250 MHz
GCN 1.0 Cape Verde PRO ,55 Watts,2048 MB ,1125 MHz
GCN 1.0 Cape Verde XT ,80 Watts,2048 MB ,1125 MHz
GCN 1.1 Oland XT ,75 Watts,2048 MB ,1150 MHz
Terascale 2 Caicos PRO ,18 Watts,512 MB ,533 MHz
